ExperimentName,Subject,Session,Age,Clock.Information,DataFile.Basename,Display.RefreshRate,ExperimentVersion,Group,Handedness,RandomSeed,RuntimeVersion,RuntimeVersionExpected,Schooling,SessionDate,SessionStartDateTimeUtc,SessionTime,Sex,StudioVersion,Block,Procedure[Block],Running[Block],SubjectLists,SubjectLists.Cycle,SubjectLists.Sample,Trial,BlockList1,BlockList1.Cycle,BlockList1.Sample,CorrectAnswer,Cue,Item,Prime,PrimeCondition,Procedure[Trial],questionmark,RecallResponse.ACC,RecallResponse.CRESP,RecallResponse.DurationError,RecallResponse.OnsetDelay,RecallResponse.OnsetTime,RecallResponse.OnsetToOnsetTime,RecallResponse.RESP,RTImmediate,RecallResponse.RTTime,Running[Trial],TrialList1,TrialList1.Cycle,TrialList1.Sample,ImmediateAccuracy,PrimeIntrusionImmediate,DelayedAccuracy,PrimeIntrusionDelayed,RTDelayed
PrimedMemoryRetrieval_Phon,1,1,0,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-06-26T21:01:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">3468616423327</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-06-26T21:01:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",PrimedMemoryRetrieval_Phon-1-1,60.327,1.0.0.77,1,left,-1716438584,2.0.10.242,2.0.10.242,Freshman,6/26/2017,6/26/2017 21:01,16:01:58,male,2.0.10.147,1,S1,SubjectLists,1,2,1,65,,,,above ,PLANE,above ,above ,Identical,TrialProc,???????,0,,-999999,6,493067,0,above{ENTER},2692,495759,TrialList1,1,1,5,1,,1,,1357
PrimedMemoryRetrieval_Phon,1,1,0,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-06-26T21:01:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">3468616423327</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-06-26T21:01:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",PrimedMemoryRetrieval_Phon-1-1,60.327,1.0.0.77,1,left,-1716438584,2.0.10.242,2.0.10.242,Freshman,6/26/2017,6/26/2017 21:01,16:01:58,male,2.0.10.147,1,S1,SubjectLists,1,2,1,118,,,,alive ,BEAR,alive ,alive ,Identical,TrialProc,???????,0,,-999999,23,863667,0,hive{ENTER},1566,865233,TrialList1,2,1,58,0,,0,,1483
PrimedMemoryRetrieval_Phon,1,1,0,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-06-26T21:01:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">3468616423327</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-06-26T21:01:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",PrimedMemoryRetrieval_Phon-1-1,60.327,1.0.0.77,1,left,-1716438584,2.0.10.242,2.0.10.242,Freshman,6/26/2017,6/26/2017 21:01,16:01:58,male,2.0.10.147,1,S1,SubjectLists,1,2,1,80,,,,angel ,SKY,angel ,angel ,Identical,TrialProc,???????,0,,-999999,23,603367,0,angel{ENTER},1638,605005,TrialList1,3,1,20,1,,0,,1248
PrimedMemoryRetrieval_Phon,1,1,0,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-06-26T21:01:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">3468616423327</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-06-26T21:01:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",PrimedMemoryRetrieval_Phon-1-1,60.327,1.0.0.77,1,left,-1716438584,2.0.10.242,2.0.10.242,Freshman,6/26/2017,6/26/2017 21:01,16:01:58,male,2.0.10.147,1,S1,SubjectLists,1,2,1,107,,,,anger ,PRISON,anger ,anger ,Identical,TrialProc,???????,0,,-999999,23,788708,0,fear{ENTER},2026,790734,TrialList1,4,1,47,0,,0,,3450
PrimedMemoryRetrieval_Phon,1,1,0,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-06-26T21:01:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">3468616423327</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-06-26T21:01:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",PrimedMemoryRetrieval_Phon-1-1,60.327,1.0.0.77,1,left,-1716438584,2.0.10.242,2.0.10.242,Freshman,6/26/2017,6/26/2017 21:01,16:01:58,male,2.0.10.147,1,S1,SubjectLists,1,2,1,68,,,,animal,PET,animal,animal,Identical,TrialProc,???????,0,,-999999,7,516457,0,animal{ENTER},3154,519611,TrialList1,5,1,8,1,,0,,2767
PrimedMemoryRetrieval_Phon,1,1,0,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-06-26T21:01:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">3468616423327</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-06-26T21:01:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",PrimedMemoryRetrieval_Phon-1-1,60.327,1.0.0.77,1,left,-1716438584,2.0.10.242,2.0.10.242,Freshman,6/26/2017,6/26/2017 21:01,16:01:58,male,2.0.10.147,1,S1,SubjectLists,1,2,1,108,,,,baby  ,GRASP,baby  ,baby  ,Identical,TrialProc,???????,0,,-999999,7,794146,0,baby{ENTER},2107,796253,TrialList1,6,1,48,1,,0,,2131
PrimedMemoryRetrieval_Phon,1,1,0,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-06-26T21:01:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">3468616423327</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-06-26T21:01:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",PrimedMemoryRetrieval_Phon-1-1,60.327,1.0.0.77,1,left,-1716438584,2.0.10.242,2.0.10.242,Freshman,6/26/2017,6/26/2017 21:01,16:01:58,male,2.0.10.147,1,S1,SubjectLists,1,2,1,77,,,,bee   ,FLY,bee   ,bee   ,Identical,TrialProc,???????,0,,-999999,23,585299,0,bee{ENTER},1293,586592,TrialList1,7,1,17,1,,0,,1514
PrimedMemoryRetrieval_Phon,1,1,0,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-06-26T21:01:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">3468616423327</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-06-26T21:01:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",PrimedMemoryRetrieval_Phon-1-1,60.327,1.0.0.77,1,left,-1716438584,2.0.10.242,2.0.10.242,Freshman,6/26/2017,6/26/2017 21:01,16:01:58,male,2.0.10.147,1,S1,SubjectLists,1,2,1,116,,,,best,CLOTH,best,best,Identical,TrialProc,???????,0,,-999999,7,853522,0,wet{ENTER},929,854451,TrialList1,8,1,56,0,,0,,2029
PrimedMemoryRetrieval_Phon,1,1,0,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-06-26T21:01:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">3468616423327</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-06-26T21:01:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",PrimedMemoryRetrieval_Phon-1-1,60.327,1.0.0.77,1,left,-1716438584,2.0.10.242,2.0.10.242,Freshman,6/26/2017,6/26/2017 21:01,16:01:58,male,2.0.10.147,1,S1,SubjectLists,1,2,1,78,,,,bird  ,SPIDER,bird  ,bird  ,Identical,TrialProc,???????,0,,-999999,23,591283,0,bird{ENTER},1580,592863,TrialList1,9,1,18,1,,1,,3783
PrimedMemoryRetrieval_Phon,1,1,0,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-06-26T21:01:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">3468616423327</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-06-26T21:01:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",PrimedMemoryRetrieval_Phon-1-1,60.327,1.0.0.77,1,left,-1716438584,2.0.10.242,2.0.10.242,Freshman,6/26/2017,6/26/2017 21:01,16:01:58,male,2.0.10.147,1,S1,SubjectLists,1,2,1,72,,,,board ,WRITE,board ,board ,Identical,TrialProc,???????,0,,-999999,23,545051,0,board{ENTER},3931,548982,TrialList1,10,1,12,1,,0,,2425
PrimedMemoryRetrieval_Phon,1,1,0,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-06-26T21:01:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">3468616423327</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-06-26T21:01:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",PrimedMemoryRetrieval_Phon-1-1,60.327,1.0.0.77,1,left,-1716438584,2.0.10.242,2.0.10.242,Freshman,6/26/2017,6/26/2017 21:01,16:01:58,male,2.0.10.147,1,S1,SubjectLists,1,2,1,67,,,,boat  ,ROPE,boat  ,boat  ,Identical,TrialProc,???????,0,,-999999,23,508782,0,boat{ENTER},3470,512252,TrialList1,11,1,7,1,,0,,4966
PrimedMemoryRetrieval_Phon,1,1,0,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-06-26T21:01:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">3468616423327</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-06-26T21:01:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",PrimedMemoryRetrieval_Phon-1-1,60.327,1.0.0.77,1,left,-1716438584,2.0.10.242,2.0.10.242,Freshman,6/26/2017,6/26/2017 21:01,16:01:58,male,2.0.10.147,1,S1,SubjectLists,1,2,1,94,,,,book  ,TOWER,book  ,book  ,Identical,TrialProc,???????,0,,-999999,23,701582,0,grove{ENTER},2334,703916,TrialList1,12,1,34,0,,0,,1639
PrimedMemoryRetrieval_Phon,1,1,0,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-06-26T21:01:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">3468616423327</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-06-26T21:01:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",PrimedMemoryRetrieval_Phon-1-1,60.327,1.0.0.77,1,left,-1716438584,2.0.10.242,2.0.10.242,Freshman,6/26/2017,6/26/2017 21:01,16:01:58,male,2.0.10.147,1,S1,SubjectLists,1,2,1,104,,,,bow   ,SUIT,bow   ,boat,Phonological,TrialProc,???????,0,,-999999,23,766943,0,bow{ENTER},2818,769761,TrialList1,13,1,44,1,,1,,1633
PrimedMemoryRetrieval_Phon,1,1,0,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-06-26T21:01:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">3468616423327</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-06-26T21:01:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",PrimedMemoryRetrieval_Phon-1-1,60.327,1.0.0.77,1,left,-1716438584,2.0.10.242,2.0.10.242,Freshman,6/26/2017,6/26/2017 21:01,16:01:58,male,2.0.10.147,1,S1,SubjectLists,1,2,1,114,,,,bulb  ,WARM,bulb  ,bulk,Phonological,TrialProc,???????,0,,-999999,7,838537,0,home{ENTER},2109,840646,TrialList1,14,1,54,0,,0,,1936
PrimedMemoryRetrieval_Phon,1,1,0,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-06-26T21:01:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">3468616423327</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-06-26T21:01:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",PrimedMemoryRetrieval_Phon-1-1,60.327,1.0.0.77,1,left,-1716438584,2.0.10.242,2.0.10.242,Freshman,6/26/2017,6/26/2017 21:01,16:01:58,male,2.0.10.147,1,S1,SubjectLists,1,2,1,102,,,,cake  ,CRUST,cake  ,cave,Phonological,TrialProc,???????,0,,-999999,23,753351,0,cake{ENTER},3660,757011,TrialList1,15,1,42,1,,1,,1493
PrimedMemoryRetrieval_Phon,1,1,0,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-06-26T21:01:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">3468616423327</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-06-26T21:01:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",PrimedMemoryRetrieval_Phon-1-1,60.327,1.0.0.77,1,left,-1716438584,2.0.10.242,2.0.10.242,Freshman,6/26/2017,6/26/2017 21:01,16:01:58,male,2.0.10.147,1,S1,SubjectLists,1,2,1,95,,,,candle,KITCHEN,candle,canteen,Phonological,TrialProc,???????,0,,-999999,23,708677,0,sink{ENTER},1750,710427,TrialList1,16,1,35,0,,0,,1688
PrimedMemoryRetrieval_Phon,1,1,0,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-06-26T21:01:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">3468616423327</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-06-26T21:01:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",PrimedMemoryRetrieval_Phon-1-1,60.327,1.0.0.77,1,left,-1716438584,2.0.10.242,2.0.10.242,Freshman,6/26/2017,6/26/2017 21:01,16:01:58,male,2.0.10.147,1,S1,SubjectLists,1,2,1,103,,,,card  ,QUICK,card  ,cast,Phonological,TrialProc,???????,0,,-999999,23,761456,0,fast{ENTER},2274,763730,TrialList1,17,1,43,0,,0,,2479
PrimedMemoryRetrieval_Phon,1,1,0,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-06-26T21:01:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">3468616423327</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-06-26T21:01:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",PrimedMemoryRetrieval_Phon-1-1,60.327,1.0.0.77,1,left,-1716438584,2.0.10.242,2.0.10.242,Freshman,6/26/2017,6/26/2017 21:01,16:01:58,male,2.0.10.147,1,S1,SubjectLists,1,2,1,120,,,,chair ,FEET,chair ,chaste,Phonological,TrialProc,???????,0,,-999999,23,875254,0,chase{ENTER},4009,879263,TrialList1,18,1,60,0,,0,,1033
PrimedMemoryRetrieval_Phon,1,1,0,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-06-26T21:01:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">3468616423327</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-06-26T21:01:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",PrimedMemoryRetrieval_Phon-1-1,60.327,1.0.0.77,1,left,-1716438584,2.0.10.242,2.0.10.242,Freshman,6/26/2017,6/26/2017 21:01,16:01:58,male,2.0.10.147,1,S1,SubjectLists,1,2,1,69,,,,cold  ,JUICE,cold  ,cone,Phonological,TrialProc,???????,0,,-999999,7,523585,0,cold{ENTER},2089,525674,TrialList1,19,1,9,1,,1,,1770
PrimedMemoryRetrieval_Phon,1,1,0,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-06-26T21:01:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">3468616423327</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-06-26T21:01:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",PrimedMemoryRetrieval_Phon-1-1,60.327,1.0.0.77,1,left,-1716438584,2.0.10.242,2.0.10.242,Freshman,6/26/2017,6/26/2017 21:01,16:01:58,male,2.0.10.147,1,S1,SubjectLists,1,2,1,70,,,,cut   ,BLADE,cut   ,cusp,Phonological,TrialProc,???????,0,,-999999,23,532138,0,cut{ENTER},1807,533945,TrialList1,20,1,10,1,,0,,1321
PrimedMemoryRetrieval_Phon,1,1,0,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-06-26T21:01:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">3468616423327</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-06-26T21:01:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",PrimedMemoryRetrieval_Phon-1-1,60.327,1.0.0.77,1,left,-1716438584,2.0.10.242,2.0.10.242,Freshman,6/26/2017,6/26/2017 21:01,16:01:58,male,2.0.10.147,1,S1,SubjectLists,1,2,1,113,,,,dawn  ,LIGHT,dawn  ,dog,Phonological,TrialProc,???????,0,,-999999,23,830497,0,dog{ENTER},4533,835030,TrialList1,21,1,53,0,,0,,3075
PrimedMemoryRetrieval_Phon,1,1,0,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-06-26T21:01:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">3468616423327</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-06-26T21:01:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",PrimedMemoryRetrieval_Phon-1-1,60.327,1.0.0.77,1,left,-1716438584,2.0.10.242,2.0.10.242,Freshman,6/26/2017,6/26/2017 21:01,16:01:58,male,2.0.10.147,1,S1,SubjectLists,1,2,1,66,,,,day   ,SUN,day   ,daze,Phonological,TrialProc,???????,0,,-999999,23,500858,0,day{ENTER},1348,502206,TrialList1,22,1,6,1,,1,,1041
