ExperimentName,Subject,Session,Age,Clock.Information,DataFile.Basename,Display.RefreshRate,ExperimentVersion,Group,Handedness,RandomSeed,RuntimeVersion,RuntimeVersionExpected,Schooling,SessionDate,SessionStartDateTimeUtc,SessionTime,Sex,StudioVersion,Block,Procedure[Block],Running[Block],SubjectLists,SubjectLists.Cycle,SubjectLists.Sample,Trial,BlockList1,BlockList1.Cycle,BlockList1.Sample,CorrectAnswer,Cue,Item,Prime,PrimeCondition,Procedure[Trial],questionmark,RecallResponse.ACC,RecallResponse.CRESP,RecallResponse.DurationError,RecallResponse.OnsetDelay,RecallResponse.OnsetTime,RecallResponse.OnsetToOnsetTime,RecallResponse.RESP,RTImmediate,RecallResponse.RTTime,Running[Trial],TrialList10,TrialList10.Cycle,TrialList10.Sample,ImmediateAccuracy,PrimeIntrusionImmediate,DelayedAccuracy,PrimeIntrusionDelayed,RTDelayed
ImmediateRecall500ms,30,1,31,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-08-08T16:03:30Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">1.30460683112264E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-08-08T16:03:30Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ImmediateRecall500ms-30-1,59.82,1.0.0.85,1,right,-2010870879,2.0.10.242,2.0.10.242,Senior,8/8/2017,8/8/2017 16:03,11:03:30,female,2.0.10.147,1,S10,SubjectLists,10,2,1,96,,,,above ,PLANE,above ,aback,Phonological,TrialProc,???????,0,,-999999,7,628241,0,above{ENTER},1670,629911,TrialList10,1,1,36,1,above,1,0,1003
ImmediateRecall500ms,30,1,31,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-08-08T16:03:30Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">1.30460683112264E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-08-08T16:03:30Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ImmediateRecall500ms-30-1,59.82,1.0.0.85,1,right,-2010870879,2.0.10.242,2.0.10.242,Senior,8/8/2017,8/8/2017 16:03,11:03:30,female,2.0.10.147,1,S10,SubjectLists,10,2,1,91,,,,alive ,BEAR,alive ,alarm,Phonological,TrialProc,???????,0,,-999999,7,604854,0,alive{ENTER},1697,606551,TrialList10,2,1,31,1,alive,1,0,774
ImmediateRecall500ms,30,1,31,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-08-08T16:03:30Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">1.30460683112264E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-08-08T16:03:30Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ImmediateRecall500ms-30-1,59.82,1.0.0.85,1,right,-2010870879,2.0.10.242,2.0.10.242,Senior,8/8/2017,8/8/2017 16:03,11:03:30,female,2.0.10.147,1,S10,SubjectLists,10,2,1,71,,,,angel ,SKY,angel ,eight,Phonological,TrialProc,???????,0,,-999999,7,514700,0,angel{ENTER},1340,516040,TrialList10,3,1,11,1,angel,1,0,881
ImmediateRecall500ms,30,1,31,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-08-08T16:03:30Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">1.30460683112264E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-08-08T16:03:30Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ImmediateRecall500ms-30-1,59.82,1.0.0.85,1,right,-2010870879,2.0.10.242,2.0.10.242,Senior,8/8/2017,8/8/2017 16:03,11:03:30,female,2.0.10.147,1,S10,SubjectLists,10,2,1,100,,,,anger ,PRISON,anger ,angle,Phonological,TrialProc,???????,0,,-999999,7,645760,0,anger{ENTER},1191,646951,TrialList10,4,1,40,1,anger,1,0,858
ImmediateRecall500ms,30,1,31,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-08-08T16:03:30Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">1.30460683112264E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-08-08T16:03:30Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ImmediateRecall500ms-30-1,59.82,1.0.0.85,1,right,-2010870879,2.0.10.242,2.0.10.242,Senior,8/8/2017,8/8/2017 16:03,11:03:30,female,2.0.10.147,1,S10,SubjectLists,10,2,1,88,,,,animal,PET,animal,analyst,Phonological,TrialProc,???????,0,,-999999,6,590360,0,animal{ENTER},1552,591912,TrialList10,5,1,28,1,animal,1,0,1011
ImmediateRecall500ms,30,1,31,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-08-08T16:03:30Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">1.30460683112264E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-08-08T16:03:30Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ImmediateRecall500ms-30-1,59.82,1.0.0.85,1,right,-2010870879,2.0.10.242,2.0.10.242,Senior,8/8/2017,8/8/2017 16:03,11:03:30,female,2.0.10.147,1,S10,SubjectLists,10,2,1,67,,,,baby  ,GRASP,baby  ,basin,Phonological,TrialProc,???????,0,,-999999,7,496646,0,baby{ENTER},1219,497865,TrialList10,6,1,7,1,baby,1,0,1784
ImmediateRecall500ms,30,1,31,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-08-08T16:03:30Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">1.30460683112264E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-08-08T16:03:30Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ImmediateRecall500ms-30-1,59.82,1.0.0.85,1,right,-2010870879,2.0.10.242,2.0.10.242,Senior,8/8/2017,8/8/2017 16:03,11:03:30,female,2.0.10.147,1,S10,SubjectLists,10,2,1,105,,,,bee   ,FLY,bee   ,bean,Phonological,TrialProc,???????,0,,-999999,7,672340,0,bee{ENTER},947,673287,TrialList10,7,1,45,1,bee,1,0,1298
ImmediateRecall500ms,30,1,31,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-08-08T16:03:30Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">1.30460683112264E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-08-08T16:03:30Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ImmediateRecall500ms-30-1,59.82,1.0.0.85,1,right,-2010870879,2.0.10.242,2.0.10.242,Senior,8/8/2017,8/8/2017 16:03,11:03:30,female,2.0.10.147,1,S10,SubjectLists,10,2,1,65,,,,best,CLOTH,best,bend,Phonological,TrialProc,???????,0,,-999999,7,487318,0,better{ENTER},1603,488921,TrialList10,8,1,5,0,better,0,0,912
ImmediateRecall500ms,30,1,31,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-08-08T16:03:30Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">1.30460683112264E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-08-08T16:03:30Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ImmediateRecall500ms-30-1,59.82,1.0.0.85,1,right,-2010870879,2.0.10.242,2.0.10.242,Senior,8/8/2017,8/8/2017 16:03,11:03:30,female,2.0.10.147,1,S10,SubjectLists,10,2,1,107,,,,bird  ,SPIDER,bird  ,burn,Phonological,TrialProc,???????,0,,-999999,7,681417,0,bird{ENTER},1230,682647,TrialList10,9,1,47,1,bird,1,0,931
ImmediateRecall500ms,30,1,31,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-08-08T16:03:30Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">1.30460683112264E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-08-08T16:03:30Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ImmediateRecall500ms-30-1,59.82,1.0.0.85,1,right,-2010870879,2.0.10.242,2.0.10.242,Senior,8/8/2017,8/8/2017 16:03,11:03:30,female,2.0.10.147,1,S10,SubjectLists,10,2,1,95,,,,board ,WRITE,board ,bone,Phonological,TrialProc,???????,0,,-999999,7,623443,0,board{ENTER},1252,624695,TrialList10,10,1,35,1,board,1,0,874
